id,compound,formula
LMFA00000001,2-methoxy-12-methyloctadec-17-en-5-ynoyl anhydride,C40H66O5
LMFA00000002,N-(3S-hydroxydecanoyl)-L-serine,C13H25NO5
LMFA00000003,N-(3-(hexadecanoyloxy)-heptadecanoyl)-L-ornithine,C38H74N2O5
LMFA00000004,N-(9Z_12Z_15Z-octadecatrienoyl)-glutamine,C23H38N2O4
LMFA00000005,N-(3-(15-methyl-hexadecanoyloxy)-13-methyl-tetradecanoyl)-L-serine,C37H71NO6
LMFA00000006,2-((2S)-6-amino-2-(3-hydroxy-14-methylpentadecanamido)hexanoyloxy)ethyl 2-hydroxy-13-methyltetradecanoate,C39H76N2O7
LMFA00000007,N-hydroxydecanamide,C10H21NO2
LMFA00000008,(9S_10S)-10-hydroxy-9-(phosphonooxy)octadecanoic acid,C18H37O7P
LMFA00000009,6-(6-aminohexanamido)hexanoic acid,C12H24N2O3
LMFA00000014,2-aminoethyl-5Z_8Z_11Z_14Z-eicosatetraenoate,C22H37NO2
LMFA00000015,Dideoxymycobactin,C47H75N5O8
LMFA01010000,fatty acid,CHO2
LMFA01010001,hexadecanoic acid,C16H32O2
LMFA01010002,ethanoic acid,C2H4O2
LMFA01010003,propanoic acid,C3H6O2
LMFA01010004,Butanoic acid,C4H8O2
LMFA01010005,pentanoic acid,C5H10O2
LMFA01010006,Hexanoic acid,C6H12O2
LMFA01010007,heptanoic acid,C7H14O2
LMFA01010008,octanoic acid,C8H16O2
LMFA01010009,nonanoic acid,C9H18O2
LMFA01010010,decanoic acid,C10H20O2
LMFA01010011,undecanoic acid,C11H22O2
LMFA01010012,dodecanoic acid,C12H24O2
LMFA01010013,tridecanoic acid,C13H26O2
LMFA01010014,tetradecanoic acid,C14H28O2
LMFA01010015,pentadecanoic acid,C15H30O2
LMFA01010017,heptadecanoic acid,C17H34O2
LMFA01010018,octadecanoic acid,C18H36O2
LMFA01010019,nonadecanoic acid,C19H38O2
LMFA01010020,eicosanoic acid,C20H40O2
LMFA01010021,heneicosanoic acid,C21H42O2
LMFA01010022,docosanoic acid,C22H44O2
LMFA01010023,tricosanoic acid,C23H46O2
LMFA01010024,tetracosanoic acid,C24H48O2
LMFA01010025,pentacosanoic acid,C25H50O2
LMFA01010026,hexacosanoic acid,C26H52O2
LMFA01010027,heptacosanoic acid,C27H54O2
LMFA01010028,octacosanoic acid,C28H56O2
LMFA01010029,nonacosanoic acid,C29H58O2
LMFA01010030,triacontanoic acid,C30H60O2
LMFA01010031,hentriacontanoic acid,C31H62O2
LMFA01010032,dotriacontanoic acid,C32H64O2
LMFA01010033,tritriacontanoic acid,C33H66O2
LMFA01010034,tetratriacontanoic acid,C34H68O2
LMFA01010035,pentatriacontanoic acid,C35H70O2
LMFA01010036,hexatriacontanoic acid,C36H72O2
LMFA01010037,heptatriacontanoic acid,C37H74O2
LMFA01010038,octatriacontanoic acid,C38H76O2
LMFA01010039,hexatetracontanoic acid,C46H92O2
LMFA01010040,methanoic acid,CH2O2
LMFA01010042,2-hydroxy-2-methyl-propanoic acid,C4H8O3
LMFA01010043,Dodecanoic acid(d3),C12H21D3O2
LMFA01010044,Tetradecanoic acid(d3),C14H25D3O2
LMFA01010045,Pentadecanoic acid(d3),C15H27D3O2
LMFA01010046,Hexadecanoic acid(d3),C16H29D3O2
LMFA01010047,Octadecanoic acid(d3),C18H33D3O2
LMFA01010048,Heptadecanoic acid(d3),C17H31D3O2
LMFA01010049,Eicosanoic acid(d3),C20H37D3O2
LMFA01010050,Docosanoic acid(d3),C22H41D3O2
LMFA01010051,Tetracosanoic acid(d3),C24H45D3O2
LMFA01010052,Hexacosanoic acid(d3),C26H49D3O2
LMFA01020001,17-methyl-6Z-octadecenoic acid,C19H36O2
LMFA01020002,6-methyl-octanoic acid,C9H18O2
LMFA01020003,7-methyl-octanoic acid,C9H18O2
LMFA01020004,10-methyl-undecanoic acid,C12H24O2
LMFA01020005,10-methyl-dodecanoic acid,C13H26O2
LMFA01020006,11-methyl-dodecanoic acid,C13H26O2
LMFA01020007,12-methyl-tridecanoic acid,C14H28O2
LMFA01020008,12-methyl-tetradecanoic acid,C15H30O2
LMFA01020009,13-methyl-tetradecanoic acid,C15H30O2
LMFA01020010,14-methy-pentadecanoic acid,C16H32O2
LMFA01020011,14-methyl-hexadecanoic acid,C17H34O2
LMFA01020012,15-methyl-hexadecanoic acid,C17H34O2
LMFA01020013,10-methyl-heptadecanoic acid,C18H36O2
LMFA01020014,16-methyl-heptadecanoic acid,C18H36O2
LMFA01020015,10R-methyl-octadecanoic acid,C19H38O2
LMFA01020016,16-methyl-octadecanoic acid,C19H38O2
LMFA01020017,18-methyl-nonadecanoic acid,C20H40O2
LMFA01020018,(+)-18-methyl-eicosanoic acid,C21H42O2
LMFA01020019,20-methyl-heneicosanoic acid,C22H44O2
LMFA01020020,(+)-20-methyl-docosanoic acid,C23H46O2
LMFA01020021,22-methyl-tricosanoic acid,C24H48O2
LMFA01020022,3_13_19-trimethyl-tricosanoic acid,C26H52O2
LMFA01020023,23-methyl-tetracosanoic acid,C25H50O2
LMFA01020024,24-methyl-pentacosanoic acid,C26H52O2
LMFA01020025,(+)-24-methyl-hexacosanoic acid,C27H54O2
LMFA01020026,26-methyl-heptacosanoic acid,C28H56O2
LMFA01020027,2_4_6-trimethyl-octacosanoic acid,C31H62O2
LMFA01020028,(+)-28-methyl-triacontanoic acid,C31H62O2
LMFA01020029,2-methyl-2Z-butenoic acid,C5H8O2
LMFA01020030,2-methyl-2E-butenoic acid,C5H8O2
LMFA01020031,4-methyl-3-pentenoic acid,C6H10O2
LMFA01020032,2_4_6-trimethyl-2Z-tetracosenoic acid,C27H52O2
LMFA01020033,2_6-dimethyl-nonadecanoic acid,C21H42O2
LMFA01020034,2_6-dimethyl-undecanoic acid,C13H26O2
LMFA01020035,2_6-dimethyl-dodecanoic acid,C14H28O2
LMFA01020036,4_8-dimethyl-dodecanoic acid,C14H28O2
LMFA01020037,4_12-dimethyl-tridecanoic acid,C15H30O2
LMFA01020038,2_6-dimethyl-tetradecanoic acid,C16H32O2
LMFA01020039,2_8-dimethyl-tetradecanoic acid,C16H32O2
LMFA01020040,2_6-dimethyl-pentadecanoic acid,C17H34O2
LMFA01020041,4_8-dimethyl-pentadecanoic acid,C17H34O2
LMFA01020042,2_6-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020043,4_8-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020044,2_14-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020045,4_14-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020046,6_14-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020047,4_14-dimethyl-heptadecanoic acid,C19H38O2
LMFA01020048,2_14-dimethyl-octadecanoic acid,C20H40O2
LMFA01020049,4_14-dimethyl-octadecanoic acid,C20H40O2
LMFA01020050,6_14-dimethyl-octadecanoic acid,C20H40O2
LMFA01020051,4_16-dimethyl-octadecanoic acid,C20H40O2
LMFA01020052,6_16-dimethyl-octadecanoic acid,C20H40O2
LMFA01020053,2-methyl-undecanoic acid,C12H24O2
LMFA01020054,3-methyl-undecanoic acid,C12H24O2
LMFA01020055,4-methyl-undecanoic acid,C12H24O2
LMFA01020056,5-methyl-undecanoic acid,C12H24O2
LMFA01020057,6-methyl-undecanoic acid,C12H24O2
LMFA01020058,8-methyl-undecanoic acid,C12H24O2
LMFA01020059,9-methyl-undecanoic acid,C12H24O2
LMFA01020061,2-methyl-dodecanoic acid,C13H26O2
LMFA01020062,3-methyl-dodecanoic acid,C13H26O2
LMFA01020063,4-methyl-dodecanoic acid,C13H26O2
LMFA01020064,5-methyl-dodecanoic acid,C13H26O2
LMFA01020065,6-methyl-dodecanoic acid,C13H26O2
LMFA01020066,7-methyl-dodecanoic acid,C13H26O2
LMFA01020067,8-methyl-dodecanoic acid,C13H26O2
LMFA01020068,9-methyl-dodecanoic acid,C13H26O2
LMFA01020069,2-methyl-tridecanoic acid,C14H28O2
LMFA01020070,4-methyl-tridecanoic acid,C14H28O2
LMFA01020071,2-methyl-propanoic acid,C4H8O2
LMFA01020072,2-methyl-butanoic acid,C5H10O2
LMFA01020073,2_2-dimethyl-propanoic acid,C5H10O2
LMFA01020074,2-methyl-pentanoic acid,C6H12O2
LMFA01020075,3-methyl-pentanoic acid,C6H12O2
LMFA01020076,4-methyl-pentanoic acid,C6H12O2
LMFA01020077,2-ethyl-butanoic acid,C6H12O2
LMFA01020078,2_2-dimethyl-butanoic acid,C6H12O2
LMFA01020079,3_3-dimethyl-butanoic acid,C6H12O2
LMFA01020080,2-methyl-hexanoic acid,C7H14O2
LMFA01020081,3-methyl-hexanoic acid,C7H14O2
LMFA01020082,4-methyl-hexanoic acid,C7H14O2
LMFA01020083,5-methyl-hexanoic acid,C7H14O2
LMFA01020084,2-ethyl-pentanoic acid,C7H14O2
LMFA01020085,2_2-dimethyl-pentanoic acid,C7H14O2
LMFA01020086,3_3-dimethyl-pentanoic acid,C7H14O2
LMFA01020087,2-ethyl-hexanoic acid,C8H16O2
LMFA01020088,2-methyl-octanoic acid,C9H18O2
LMFA01020089,2-methyl-nonanoic acid,C10H20O2
LMFA01020090,2-methyl-decanoic acid,C11H22O2
LMFA01020091,2-methyl-tetradecanoic acid,C15H30O2
LMFA01020092,2-methyl-hexadecanoic acid,C17H34O2
LMFA01020093,2-methyl-heptadecanoic acid,C18H36O2
LMFA01020094,15_15-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020095,2-methyl-octadecanoic acid,C19H38O2
LMFA01020096,17-methyl-octadecanoic acid,C19H38O2
LMFA01020097,3-methyl-2-butenoic acid,C5H8O2
LMFA01020098,4-methyl-4-pentenoic acid,C6H10O2
LMFA01020099,2_2-dimethyl-3-butenoic acid,C6H10O2
LMFA01020100,2-methyl-2Z-hexenoic acid,C7H12O2
LMFA01020101,2-methyl-2E-hexenoic acid,C7H12O2
LMFA01020102,2-methyl-2E-heptenoic acid,C8H14O2
LMFA01020103,6-methyl-5-octenoic acid,C9H16O2
LMFA01020104,3_7-dimethyl-6-octenoic acid,C10H18O2
LMFA01020105,3_7-dimethyl-2-octenoic acid,C10H18O2
LMFA01020106,5-methyl-2-undecenoic acid,C12H22O2
LMFA01020107,2-methyl-2-dodecenoic acid,C13H24O2
LMFA01020108,5-methyl-2E-tridecenoic acid,C14H26O2
LMFA01020109,2_5-dimethyl-2E-tridecenoic acid,C15H28O2
LMFA01020110,3-methyl-3-butenoic acid,C5H8O2
LMFA01020111,2-ethyl-2-propenoic acid,C5H8O2
LMFA01020112,4-methyl-2E-pentenoic acid,C6H10O2
LMFA01020113,3-methyl-4-pentenoic acid,C6H10O2
LMFA01020114,3-methyl-2Z-pentenoic acid,C6H10O2
LMFA01020115,3-Methyl-3Z-Pentenoic Acid,C6H10O2
LMFA01020116,2_3-dimethyl-2-butenoic Acid,C6H10O2
LMFA01020117,5-methyl-5-hexenoic acid,C7H12O2
LMFA01020118,2-butyl-2-propenoic acid,C7H12O2
LMFA01020119,4_4-dimethyl-2E-pentenoic acid,C7H12O2
LMFA01020120,4_4-dimethyl-2Z-pentenoic acid,C7H12O2
LMFA01020121,2_2-dimethyl-4-pentenoic acid,C7H12O2
LMFA01020122,2-isopropyl-2E-butenoic acid,C7H12O2
LMFA01020123,3-isopropyl-3-butenoic acid,C7H12O2
LMFA01020124,6-methyl-5-heptenoic acid,C8H14O2
LMFA01020125,2-ethyl-3E-hexenoic acid,C8H14O2
LMFA01020126,3-tert-butyl-3-butenoic acid,C8H14O2
LMFA01020127,2-pentyl-3-butenoic acid,C9H16O2
LMFA01020128,3-methyl-2-nonenoic acid,C10H18O2
LMFA01020129,2_7-dimethyl-6-octenoic acid,C10H18O2
LMFA01020130,2_7-dimethyl-6-nonenoic acid,C11H20O2
LMFA01020131,4-ethyl-2-methyl-2-octenoic acid,C11H20O2
LMFA01020132,2_4-dimethyl-2E-dodecenoic acid,C14H26O2
LMFA01020133,2_4-dimethyl-2E-tetradecenoic acid,C16H30O2
LMFA01020134,2_4-dimethyl-2-eicosenoic acid,C22H42O2
LMFA01020135,2-propyl-9Z-octadecenoic Acid,C21H40O2
LMFA01020136,2-methyl-2-eicosenoic acid,C21H40O2
LMFA01020138,4-heptyl-2-methyl-2-undecenoic acid,C19H36O2
