compound	expectedRt	id	formula	mz
3-Hydroxy-3-methylglutaryl-CoA	15.72	HMDB01375	C27H44N7O20P3S	910.1501671
Succinyl-CoA	21.2	HMDB01022	C25H40N7O19P3S	866.1239524
3-Hydroxybutyryl-CoA	15.2	HMDB01166	C25H42N7O18P3S	852.1446878
Malonyl-CoA	21.33	HMDB01175	C24H38N7O19P3S	852.1083023
Acetoacetyl-CoA	15.36	HMDB01484	C25H40N7O18P3S	850.1290377
3-Methylcrotonyl-CoA	17.13	HMDB01493	C26H42N7O17P3S	848.1498
Acetyl-CoA	16.75	HMDB01206	C23H38N7O17P3S	808.1184731
FAD	16.43	HMDB01248	C27H33N9O15P2	784.1498345
Thyroxine	18.15	HMDB00248	C15H11I4NO4	775.6794
Coenzyme A	14.41	HMDB01423	C21H36N7O16P3S	766.1079084
NADPH	16.35	HMDB00221	C21H30N7O17P3	744.0838021
NAADP	16.2	HMDB01179	C21H27N6O18P3	743.0522
NADP	15.04	HMDB00217	C21H28N7O17P3	742.068152
Dephospho-CoA	16.01	HMDB01373	C21H35N7O13P2S	686.141578
Stachyose	2.11	HMDB03553	C24H42O21	665.2146
NADH	15.42	HMDB01487	C21H29N7O14P2	664.1174717
NAD	11.4	HMDB00902	C21H27N7O14P2	662.1018216
