verified	compound	formula	database	neg-Ultra-15cmC18-50min	neg-Exactive-10cmC18-25min	pos-Ultra-25cmAmino-40
1	"cholesteryl sulfate"	C27H46O4S	HMDB00653	44	17.25	
1	"Deoxycholic acid"	C26H43NO5	C05464	42.2	16.79	
1	"trans, trans-farnesyl diphosphate"	C15H28O7P2	C00448	42	16.74	
1	"Cholic acid"	C24H40O5	HMDB00619	41.8	16.69	
1	Geranyl-PP	C10H20O7P2	C00341	40.9	16.46	
1	"Taurodeoxycholic acid"	C26H45NO6S	C05463	40	16.23	
1	lipoate	C8H14O2S2	C00725	39	15.97	
1	3-hydroxy-3-methylglutaryl-CoA-nega	C27H44N7O20P3S	C00356	38	15.72	
1	butyryl-CoA	C25H42N7O17P3S	C00630	38	15.72	
1	malonyl-CoA	C24H38N7O19P3S	C00083	26	15.7	
1	propionyl-CoA	C24H40N7O17P3S	C00100	37.7	15.64	
1	acetoacetyl-CoA	C25H40N7O18P3S	C00332	26	15.5	
1	acetyl-CoA	C23H38N7O17P3S	C00024	37	15.46	
1	dGTP	C10H16N5O13P3	C00002	37	15.46	
1	succinyl-CoA/methylmalonyl-CoA	C25H40N7O19P3S	C00091|C00683|C02557	36.8	15.41	
1	malonyl-CoA	C24H38N7O19P3S	C00083	36.8	15.41	
1	"3-methylphenylacetic acid"	C9H10O2	HMDB02222	36.8	15.41	
1	"coenzyme A"	C21H36N7O16P3S	C00010	25.4	15.4	25.4
1	acetoacetyl-CoA	C25H40N7O18P3S	C00332	36.6	15.36	
0	"Phenylpropiolic acid"	C9H6O2	HMDB00563	36	15.2	
1	3-hydroxybutyryl-CoA	C25H42N7O18P3S	C01144|C03561	36	15.2	
0	"guanosine 5'-diphosphate,3'-diphosphate"	C10H11N5O17P4		35.9	15.18	
1	"Indoleacrylic acid"	C11H9NO2	HMDB00734	35	14.94	
1	5-phosphoribosyl-1-pyrophosphate	C5H13O14P3	C00119	35	14.94	
1	dephospho-CoA	C21H35N7O13P2S	C00882	35	14.94	
1	dTTP	C10H17N2O14P3	C00459	35	14.94	
