name,nmol,charge,mass
[M-H2O-H]-,1,-1,-19.0189383
[M+NH4-CO]+,1,1,-9.961089068
[M-3H]3-,1,-3,-3.021829356
[M-2H]2-,1,-2,-2.014552904
[2M-H]-,2,-1,-1.007276452
[3M-H]-,3,-1,-1.007276452
[M-H]-,1,-1,-1.007276452
[M]+,1,1,-0.00054857971
[M]-,1,-1,0.00054857971
[2M+H]+,2,1,1.007276452
[M+H]+,1,1,1.007276452
[M+2H]2+,1,2,2.014552904
[M+3H]3+,1,3,3.021829356
[M+Li]+,1,1,7.01545542
[2M+NH4]+,2,1,18.03382555
[M+NH4]+,1,1,18.03382555
[M+H3O]+,1,1,19.01838972
[M+H+NH4]2+,1,2,19.04110201
[M+Na-2H]-,1,-1,20.97521677
[2M+Na]+,2,1,22.98922109
[M+Na]+,1,1,22.98922109
[M+H+Na]2+,1,2,23.99649754
[M+2H+Na]3+,1,3,25.00432257
[M+CH3OH-H]-,1,-1,31.01893875
[M+CH3OH+H]+,1,1,33.0334912
[M+Cl]-,1,-1,34.96940129
[M+K-2H]-,1,-1,36.949154
[2M+K+],2,1,38.96315832
[M+K]+,1,1,38.96315832
[M+H+K]2+,1,2,39.97043477
[M+ACN-H]-,1,-1,40.0192731
[2M+ACN+H]+,2,1,42.03327697
[M+ACN+H]+,1,1,42.03382555
[M+ACN+2H]2+,1,2,43.04110201
[M+2Na-H]+,1,1,44.97226289
[2M+FA-H]-,2,-1,44.99820286
[M+FA-H]-,1,-1,44.99820286
[M+2Na]2+,1,2,45.97844218
[M+H+2Na]3+,1,3,46.98571863
[M+Fe3]3+,1,3,55.93329636
[2M+3H2O+2H]+,2,1,56.04679554
[2M+AcO]-,2,-1,59.01385337
[M+AcO]-,1,-1,59.01385337
[M+IsoProp+H],1,1,61.06479133
[M+Na+K]2+,1,2,61.95292799
[2M+ACN+Na]+,2,1,64.01577019
[M+ACN+Na]+,1,1,64.01577019
[M+NaO2CH-H]-,1,-1,66.98014749
[M+3Na]3+,1,3,68.96766327
[M+NaHO2CH]+,1,1,68.9947004
[M+2K-H]+,1,1,76.92013735
[M+2K]2+,1,2,77.92631664
[M+Br]-,1,-1,78.91888618
[M+DMSO+H]+,1,1,79.02121196
[M+NaOAc-H]-,1,-1,80.99579801
[M+NaHOAc]+,1,1,83.01035046
[M+2ACN+H]+,1,1,83.06037466
[M+IsoProp+Na+H],1,1,84.054561
[M+2ACN+2H]2+,1,2,84.06765111
[M+Na2O2CH]+,1,1,90.97664504
[M+TFA-H]-,1,-1,112.9855874
[M+3K]3+,1,3,116.889475
[M+3ACN+2H]2+,1,2,125.0942002
[M+tributylamine-H]-,1,-1,184.2070739
[M+tributylamine+H]+,1,1,186.2216263
[M+tributylamine+2H]2+,1,2,187.2289028
